date,time,sym,bid,ask,bsiz,asiz,n,v,prc
2020-06-01,-360,CLF1,36.33,37.15,1,3,0,0,
2020-06-01,-330,CLF1,36.81,36.86,4,3,3,3,36.8566666667
2020-06-01,-300,CLF1,37.19,37.24,4,3,6,7,37.0985714286
2020-06-01,-270,CLF1,36.95,36.98,6,3,1,1,37.09
2020-06-01,-240,CLF1,36.87,36.89,2,2,3,5,36.962
2020-06-01,-210,CLF1,36.67,36.7,8,1,3,4,36.735
2020-06-01,-180,CLF1,36.61,36.64,1,9,0,0,
2020-06-01,-150,CLF1,36.68,36.7,3,1,0,0,
2020-06-01,-120,CLF1,36.82,36.85,8,4,5,9,36.74
2020-06-01,-90,CLF1,36.81,36.85,9,9,0,0,
2020-06-01,-60,CLF1,37,37.02,1,3,2,2,36.94
2020-06-01,-30,CLF1,36.9,36.93,3,5,6,8,37.0525
2020-06-01,0,CLF1,36.8,36.83,8,5,4,4,36.8325
2020-06-01,30,CLF1,36.79,36.82,8,5,0,0,
2020-06-01,60,CLF1,36.8,36.82,1,1,1,1,36.84
2020-06-01,90,CLF1,36.74,36.76,1,6,5,5,36.712
2020-06-01,120,CLF1,36.8,36.83,4,8,0,0,
2020-06-01,150,CLF1,36.95,36.98,9,6,3,4,36.9575
2020-06-01,180,CLF1,36.94,36.95,1,1,3,3,37.0033333333
2020-06-01,210,CLF1,36.92,36.95,7,7,1,1,37.01
2020-06-01,240,CLF1,36.95,36.97,1,5,3,3,36.89
2020-06-01,270,CLF1,36.92,36.94,2,1,7,9,36.87
2020-06-01,300,CLF1,37.06,37.08,2,4,9,9,37.0477777778
2020-06-01,330,CLF1,36.79,36.82,8,6,2,2,36.85
2020-06-01,360,CLF1,36.76,36.79,16,6,4,4,36.8075
2020-06-01,390,CLF1,36.73,36.75,3,5,0,0,
2020-06-01,420,CLF1,36.95,36.97,3,4,1,1,36.75
2020-06-01,450,CLF1,36.99,37.02,6,16,2,2,36.98
2020-06-01,480,CLF1,36.95,36.98,4,16,6,11,36.9663636364
2020-06-01,510,CLF1,36.91,36.93,4,1,8,8,36.8725
2020-06-01,540,CLF1,36.96,36.98,2,9,15,16,36.995
2020-06-01,570,CLF1,36.28,36.3,2,6,95,118,36.6027966102
2020-06-01,600,CLF1,36.54,36.56,11,1,27,38,36.4494736842
2020-06-01,630,CLF1,36.74,36.76,6,6,31,42,36.6214285714
2020-06-01,660,CLF1,36.43,36.46,10,21,44,46,36.517826087
2020-06-01,690,CLF1,36.35,36.37,4,2,43,57,36.4443859649
2020-06-01,720,CLF1,36.55,36.57,5,4,2,2,36.52
2020-06-01,750,CLF1,36.6,36.62,3,24,14,14,36.5392857143
2020-06-01,780,CLF1,36.74,36.76,8,2,10,11,36.6990909091
2020-06-01,810,CLF1,36.96,36.98,2,16,19,20,36.92
2020-06-01,840,CLF1,36.93,36.95,9,3,12,12,37.0116666667
2020-06-01,870,CLF1,37.14,37.15,1,4,95,125,37.08032
2020-06-01,900,CLF1,37.23,37.25,8,4,23,31,37.1422580645
2020-06-01,930,CLF1,37.26,37.29,6,12,37,40,37.2865
2020-06-01,960,CLF1,37.31,37.33,1,3,8,10,37.24
2020-06-01,990,CLF1,37.22,37.25,5,5,0,0,
2020-06-01,1020,CLF1,36.11,37.37,1,1,,,
2020-06-01,-360,CLG1,35.77,37.46,1,2,0,0,
2020-06-01,-330,CLG1,37.05,37.11,5,3,1,1,37.05
2020-06-01,-300,CLG1,37.43,37.48,3,2,3,3,37.2633333333
2020-06-01,-270,CLG1,37.2,37.23,1,3,2,2,37.355
2020-06-01,-240,CLG1,37.11,37.14,2,2,0,0,
2020-06-01,-210,CLG1,36.92,36.95,5,1,2,2,37.06
2020-06-01,-180,CLG1,36.86,36.89,1,5,0,0,
2020-06-01,-150,CLG1,36.92,36.95,5,4,0,0,
2020-06-01,-120,CLG1,37.07,37.1,3,5,0,0,
2020-06-01,-90,CLG1,37.05,37.09,9,5,0,0,
2020-06-01,-60,CLG1,37.23,37.26,1,8,2,2,37.21
2020-06-01,-30,CLG1,37.14,37.17,6,3,1,1,37.3
2020-06-01,0,CLG1,37.04,37.07,9,1,1,1,37.13
2020-06-01,30,CLG1,37.04,37.07,3,10,1,1,37.06
2020-06-01,60,CLG1,37.04,37.06,1,2,0,0,
2020-06-01,90,CLG1,36.99,37.01,1,2,3,3,36.96
2020-06-01,120,CLG1,37.04,37.08,8,17,2,2,37.08
2020-06-01,150,CLG1,37.19,37.22,9,6,3,3,37.09
2020-06-01,180,CLG1,37.18,37.2,1,8,0,0,
2020-06-01,210,CLG1,37.16,37.19,10,3,0,0,
2020-06-01,240,CLG1,37.19,37.22,3,8,1,1,37.16
2020-06-01,270,CLG1,37.16,37.19,5,5,8,8,37.11125
2020-06-01,300,CLG1,37.29,37.32,4,9,2,2,37.24
2020-06-01,330,CLG1,37.03,37.06,5,8,1,2,37.09
2020-06-01,360,CLG1,37,37.03,9,7,0,0,
2020-06-01,390,CLG1,36.96,36.99,4,11,0,0,
2020-06-01,420,CLG1,37.18,37.2,3,4,2,2,37.105
2020-06-01,450,CLG1,37.22,37.25,5,16,2,2,37.24
2020-06-01,480,CLG1,37.18,37.2,1,2,0,0,
2020-06-01,510,CLG1,37.14,37.17,2,25,3,3,37.1566666667
2020-06-01,540,CLG1,37.2,37.21,1,7,1,1,37.18
2020-06-01,570,CLG1,36.53,36.56,6,16,38,52,36.7017307692
2020-06-01,600,CLG1,36.79,36.81,4,1,5,5,36.804
2020-06-01,630,CLG1,36.99,37.01,4,7,3,5,36.862
2020-06-01,660,CLG1,36.69,36.71,3,5,2,2,36.785
2020-06-01,690,CLG1,36.61,36.64,6,10,8,9,36.7133333333
2020-06-01,720,CLG1,36.81,36.83,1,11,3,3,36.7866666667
2020-06-01,750,CLG1,36.85,36.88,15,28,18,18,36.8027777778
2020-06-01,780,CLG1,36.99,37.01,11,2,17,17,36.9505882353
2020-06-01,810,CLG1,37.21,37.23,3,6,20,20,37.1375
2020-06-01,840,CLG1,37.19,37.21,2,13,15,15,37.252
2020-06-01,870,CLG1,37.38,37.39,3,1,33,34,37.3479411765
2020-06-01,900,CLG1,37.47,37.49,5,6,3,3,37.3766666667
2020-06-01,930,CLG1,37.5,37.53,4,11,0,0,
2020-06-01,960,CLG1,37.56,37.58,1,2,31,54,37.4690740741
2020-06-01,990,CLG1,37.47,37.51,9,6,0,0,
2020-06-01,1020,CLG1,36.1,37.74,4,1,,,
2020-06-01,-360,CLH1,36.74,37.73,1,1,0,0,
2020-06-01,-330,CLH1,37.31,37.36,3,2,2,2,37.34
2020-06-01,-300,CLH1,37.68,37.74,5,4,1,1,37.41
2020-06-01,-270,CLH1,37.45,37.48,4,2,2,2,37.61
2020-06-01,-240,CLH1,37.37,37.4,2,2,2,2,37.51
2020-06-01,-210,CLH1,37.19,37.21,2,1,14,14,37.1885714286
2020-06-01,-180,CLH1,37.13,37.15,1,3,1,5,37.12
2020-06-01,-150,CLH1,37.18,37.21,4,7,34,40,37.15525
2020-06-01,-120,CLH1,37.33,37.36,4,5,2,3,37.28
2020-06-01,-90,CLH1,37.31,37.34,7,4,1,2,37.27
2020-06-01,-60,CLH1,37.48,37.5,1,3,1,1,37.35
2020-06-01,-30,CLH1,37.4,37.42,2,3,1,1,37.52
2020-06-01,0,CLH1,37.3,37.33,9,3,1,1,37.36
2020-06-01,30,CLH1,37.3,37.33,4,7,1,1,37.31
2020-06-01,60,CLH1,37.3,37.32,1,6,1,1,37.34
2020-06-01,90,CLH1,37.26,37.29,1,7,0,0,
2020-06-01,120,CLH1,37.3,37.33,9,3,2,2,37.365
2020-06-01,150,CLH1,37.45,37.47,3,5,3,3,37.3466666667
2020-06-01,180,CLH1,37.44,37.45,1,1,10,22,37.4427272727
2020-06-01,210,CLH1,37.42,37.45,5,5,0,0,
2020-06-01,240,CLH1,37.45,37.47,3,3,1,1,37.41
2020-06-01,270,CLH1,37.42,37.45,5,3,1,1,37.35
2020-06-01,300,CLH1,37.54,37.57,4,7,19,22,37.5890909091
2020-06-01,330,CLH1,37.28,37.3,4,1,0,0,
2020-06-01,360,CLH1,37.25,37.28,11,7,3,3,37.2933333333
2020-06-01,390,CLH1,37.2,37.23,14,2,0,0,
2020-06-01,420,CLH1,37.42,37.44,3,3,4,5,37.278
2020-06-01,450,CLH1,37.46,37.49,7,14,4,4,37.43
2020-06-01,480,CLH1,37.42,37.44,1,8,0,0,
2020-06-01,510,CLH1,37.38,37.41,4,19,1,1,37.36
2020-06-01,540,CLH1,37.44,37.46,2,9,2,2,37.455
2020-06-01,570,CLH1,36.8,36.82,1,7,13,21,36.9638095238
2020-06-01,600,CLH1,37.05,37.07,4,1,4,4,36.8625
2020-06-01,630,CLH1,37.24,37.26,15,2,3,3,37.1233333333
2020-06-01,660,CLH1,36.96,36.98,2,8,2,2,37.23
2020-06-01,690,CLH1,36.88,36.91,6,9,36,51,37.052745098
2020-06-01,720,CLH1,37.07,37.09,7,1,5,5,37.082
2020-06-01,750,CLH1,37.12,37.14,3,11,1,1,37.01
