date,time,sym,bid,ask,bsiz,asiz,n,v,prc
2020-09-14,-360,CLX0,37.6,37.66,2,1,1,7,37.6
2020-09-14,-330,CLX0,37.59,37.61,3,8,437,717,37.5158298466
2020-09-14,-300,CLX0,37.59,37.61,3,16,105,174,37.6382183908
2020-09-14,-270,CLX0,37.68,37.7,4,7,35,53,37.6298113208
2020-09-14,-240,CLX0,37.72,37.74,11,8,80,122,37.7075409836
2020-09-14,-210,CLX0,37.69,37.7,1,24,191,278,37.7769064748
2020-09-14,-180,CLX0,37.66,37.67,4,14,61,83,37.6904819277
2020-09-14,-150,CLX0,37.72,37.73,6,5,150,230,37.6855652174
2020-09-14,-120,CLX0,37.78,37.79,14,3,97,143,37.7396503497
2020-09-14,-90,CLX0,37.9,37.91,21,3,255,431,37.8567285383
2020-09-14,-60,CLX0,37.89,37.9,6,3,57,131,37.8757251908
2020-09-14,-30,CLX0,37.91,37.93,12,20,110,180,37.9415555556
2020-09-14,0,CLX0,37.87,37.88,8,1,33,41,37.8758536585
2020-09-14,30,CLX0,37.83,37.85,17,17,40,49,37.8455102041
2020-09-14,60,CLX0,37.84,37.85,1,17,44,57,37.8712280702
2020-09-14,90,CLX0,37.79,37.8,1,19,72,96,37.8117708333
2020-09-14,120,CLX0,37.83,37.85,20,20,38,50,37.8378
2020-09-14,150,CLX0,37.73,37.75,10,30,199,320,37.789
2020-09-14,180,CLX0,37.67,37.68,8,4,172,277,37.709133574
2020-09-14,210,CLX0,37.89,37.9,15,1,270,450,37.7888666667
2020-09-14,240,CLX0,37.63,37.64,1,23,316,464,37.7426508621
2020-09-14,270,CLX0,37.43,37.45,38,10,451,798,37.5361779449
2020-09-14,300,CLX0,37.4,37.41,19,6,351,659,37.4185280728
2020-09-14,330,CLX0,37.27,37.29,34,27,394,691,37.291447178
2020-09-14,360,CLX0,37.29,37.31,26,37,410,640,37.2500625
2020-09-14,390,CLX0,37.36,37.37,17,4,226,392,37.3442091837
2020-09-14,420,CLX0,37.5,37.51,3,3,307,638,37.4494514107
2020-09-14,450,CLX0,37.58,37.59,4,3,213,464,37.558362069
2020-09-14,480,CLX0,37.62,37.63,6,5,378,985,37.6040913706
2020-09-14,510,CLX0,37.27,37.28,28,1,585,1139,37.3955750658
2020-09-14,540,CLX0,37.24,37.25,2,20,554,1084,37.2869372694
2020-09-14,570,CLX0,37.35,37.36,3,15,2573,5076,37.3310559496
2020-09-14,600,CLX0,37.52,37.54,54,14,1822,3458,37.3625853094
2020-09-14,630,CLX0,37.57,37.58,8,15,984,1933,37.5694257631
2020-09-14,660,CLX0,37.52,37.53,34,3,1271,2708,37.5242983752
2020-09-14,690,CLX0,37.35,37.36,4,8,1036,1843,37.4801465003
2020-09-14,720,CLX0,37.5,37.51,21,7,988,1930,37.4647098446
2020-09-14,750,CLX0,37.45,37.46,7,12,644,1299,37.5557890685
2020-09-14,780,CLX0,37.52,37.53,24,8,962,2287,37.4155706165
2020-09-14,810,CLX0,37.7,37.72,64,45,609,1373,37.6093736344
2020-09-14,840,CLX0,37.66,37.67,2,35,672,1452,37.6936983471
2020-09-14,870,CLX0,37.51,37.52,30,8,2857,6410,37.5756115445
2020-09-14,900,CLX0,37.49,37.51,41,31,900,1946,37.4970811922
2020-09-14,930,CLX0,37.51,37.53,28,32,168,291,37.5295532646
2020-09-14,960,CLX0,37.57,37.58,22,3,232,493,37.5979918864
2020-09-14,990,CLX0,37.59,37.6,1,11,72,139,37.5944604317
2020-09-14,1020,CLX0,37.54,37.56,1,1,,,
2020-09-14,-360,HOX0,1.1089,1.1117,1,1,0,0,
2020-09-14,-330,HOX0,1.1077,1.1083,2,2,159,201,1.10614179104
2020-09-14,-300,HOX0,1.1077,1.1083,1,1,14,19,1.10903157895
2020-09-14,-270,HOX0,1.1088,1.1095,5,5,5,6,1.10785
2020-09-14,-240,HOX0,1.1086,1.109,2,3,10,10,1.10889
2020-09-14,-210,HOX0,1.1066,1.1072,4,2,16,16,1.10926875
2020-09-14,-180,HOX0,1.106,1.1067,4,1,2,2,1.1069
2020-09-14,-150,HOX0,1.1076,1.1083,6,3,13,15,1.10755333333
2020-09-14,-120,HOX0,1.1097,1.1103,4,2,4,4,1.1088
2020-09-14,-90,HOX0,1.1131,1.1137,3,2,5,5,1.11176
2020-09-14,-60,HOX0,1.1126,1.1131,1,2,2,2,1.11295
2020-09-14,-30,HOX0,1.1141,1.1148,5,7,4,4,1.11465
2020-09-14,0,HOX0,1.1121,1.1127,4,2,7,7,1.11295714286
2020-09-14,30,HOX0,1.1112,1.1115,4,1,1,1,1.1114
2020-09-14,60,HOX0,1.1111,1.1114,4,2,4,4,1.111625
2020-09-14,90,HOX0,1.1094,1.1098,1,3,3,3,1.11003333333
2020-09-14,120,HOX0,1.1104,1.1109,3,3,0,0,
2020-09-14,150,HOX0,1.1076,1.1082,5,3,16,17,1.10944117647
2020-09-14,180,HOX0,1.1069,1.1074,6,2,4,4,1.107475
2020-09-14,210,HOX0,1.112,1.1125,2,2,17,18,1.11032222222
2020-09-14,240,HOX0,1.1053,1.1056,1,1,42,47,1.10708723404
2020-09-14,270,HOX0,1.1013,1.1017,2,4,112,123,1.10354146341
2020-09-14,300,HOX0,1.1009,1.1013,3,4,64,77,1.10062727273
2020-09-14,330,HOX0,1.0991,1.0996,6,2,17,23,1.09995652174
2020-09-14,360,HOX0,1.0988,1.0991,2,1,20,24,1.09848333333
2020-09-14,390,HOX0,1.101,1.1014,3,2,9,10,1.10126
2020-09-14,420,HOX0,1.1035,1.1039,2,4,51,72,1.10233055556
2020-09-14,450,HOX0,1.108,1.1083,2,1,21,22,1.10546818182
2020-09-14,480,HOX0,1.1082,1.1085,2,2,51,56,1.10875
2020-09-14,510,HOX0,1.1017,1.102,2,5,75,85,1.10315529412
2020-09-14,540,HOX0,1.0974,1.0975,1,3,264,336,1.10129404762
2020-09-14,570,HOX0,1.0994,1.0996,1,1,842,1068,1.09881891386
2020-09-14,600,HOX0,1.1029,1.1032,6,1,519,696,1.09853462644
2020-09-14,630,HOX0,1.1053,1.1056,6,2,351,440,1.10415090909
2020-09-14,660,HOX0,1.1038,1.1041,7,1,774,1085,1.10545198157
2020-09-14,690,HOX0,1.0998,1.1,1,2,451,524,1.10306583969
2020-09-14,720,HOX0,1.103,1.1033,1,2,750,900,1.10255077778
2020-09-14,750,HOX0,1.1043,1.1046,2,2,421,540,1.10575574074
2020-09-14,780,HOX0,1.1065,1.1067,1,2,441,751,1.10572942743
2020-09-14,810,HOX0,1.1129,1.1131,2,2,554,700,1.10988614286
2020-09-14,840,HOX0,1.1108,1.1112,10,8,381,456,1.1115372807
2020-09-14,870,HOX0,1.1085,1.1086,1,1,934,1191,1.1090511335
2020-09-14,900,HOX0,1.1066,1.1069,1,1,365,433,1.1072221709
2020-09-14,930,HOX0,1.1074,1.1076,1,3,60,99,1.10720606061
2020-09-14,960,HOX0,1.1085,1.1089,3,2,32,45,1.10884666667
2020-09-14,990,HOX0,1.1086,1.109,3,1,27,54,1.10902962963
2020-09-14,1020,HOX0,1.1073,1.1081,1,1,,,
2020-09-14,-360,RBX0,1.0855,1.0884,1,1,0,0,
2020-09-14,-330,RBX0,1.097,1.0975,1,1,152,169,1.09323846154
2020-09-14,-300,RBX0,1.095,1.0958,3,2,44,52,1.097725
2020-09-14,-270,RBX0,1.0942,1.095,1,2,22,25,1.094676
2020-09-14,-240,RBX0,1.0938,1.0948,2,1,7,7,1.09435714286
2020-09-14,-210,RBX0,1.0942,1.095,1,6,11,13,1.09513076923
2020-09-14,-180,RBX0,1.0946,1.0949,1,2,1,1,1.0952
2020-09-14,-150,RBX0,1.094,1.0948,2,3,11,11,1.09484545455
2020-09-14,-120,RBX0,1.0959,1.0965,1,45,7,8,1.0956875
2020-09-14,-90,RBX0,1.1001,1.1009,2,2,21,65,1.09721076923
2020-09-14,-60,RBX0,1.0978,1.0986,2,4,9,11,1.09845454545
2020-09-14,-30,RBX0,1.0983,1.0992,3,2,10,11,1.09851818182
2020-09-14,0,RBX0,1.0969,1.0978,1,2,6,8,1.09765
2020-09-14,30,RBX0,1.0957,1.0964,3,1,14,14,1.09619285714
2020-09-14,60,RBX0,1.0963,1.0971,2,1,16,17,1.09747058824
2020-09-14,90,RBX0,1.0953,1.0964,2,2,1,1,1.0964
2020-09-14,120,RBX0,1.0978,1.0981,2,1,3,3,1.09823333333
2020-09-14,150,RBX0,1.0942,1.0949,1,2,52,52,1.09725192308
2020-09-14,180,RBX0,1.0933,1.0939,1,6,7,7,1.09368571429
2020-09-14,210,RBX0,1.1015,1.1019,3,1,220,247,1.09914251012
2020-09-14,240,RBX0,1.0979,1.0983,2,2,88,108,1.09918796296
2020-09-14,270,RBX0,1.0935,1.094,1,2,332,387,1.09660206718
2020-09-14,300,RBX0,1.0918,1.0922,1,1,76,81,1.09208641975
2020-09-14,330,RBX0,1.0888,1.0894,1,1,49,50,1.089926
2020-09-14,360,RBX0,1.0876,1.0879,1,1,41,53,1.08826415094
2020-09-14,390,RBX0,1.0892,1.0897,3,2,24,41,1.08906585366
2020-09-14,420,RBX0,1.0903,1.0906,1,3,61,61,1.08914918033
2020-09-14,450,RBX0,1.0952,1.0955,1,5,26,28,1.09363571429
2020-09-14,480,RBX0,1.0944,1.0947,1,1,32,40,1.09584
2020-09-14,510,RBX0,1.088,1.0884,4,1,177,213,1.08872018779
2020-09-14,540,RBX0,1.0794,1.0797,1,1,325,381,1.08312047244
2020-09-14,570,RBX0,1.0852,1.0855,1,3,1032,1283,1.08439906469
2020-09-14,600,RBX0,1.0923,1.0926,2,1,954,1133,1.08737166814
2020-09-14,630,RBX0,1.0942,1.0946,5,1,470,537,1.09362811918
2020-09-14,660,RBX0,1.0928,1.0932,1,3,730,929,1.09422314316
2020-09-14,690,RBX0,1.0854,1.086,3,9,579,717,1.09087545328
2020-09-14,720,RBX0,1.086,1.0864,5,2,615,739,1.08653220568
2020-09-14,750,RBX0,1.0852,1.0859,4,14,312,438,1.0891956621
2020-09-14,780,RBX0,1.091,1.0914,5,2,648,1015,1.08712551724
2020-09-14,810,RBX0,1.0963,1.0966,1,4,451,567,1.09366825397
2020-09-14,840,RBX0,1.0958,1.0962,5,1,512,622,1.09654196141
2020-09-14,870,RBX0,1.0919,1.092,2,1,1521,2029,1.09147348448
2020-09-14,900,RBX0,1.0911,1.0915,3,2,230,277,1.09120722022
2020-09-14,930,RBX0,1.092,1.0922,1,2,62,66,1.09207575758
2020-09-14,960,RBX0,1.0924,1.0929,1,8,44,45,1.09286888889
2020-09-14,990,RBX0,1.0927,1.0931,3,2,25,25,1.093168
2020-09-14,1020,RBX0,1.0906,1.0923,1,1,,,
2020-09-15,-360,CLX0,37.57,37.59,2,2,0,0,
2020-09-15,-330,CLX0,37.68,37.7,9,5,74,107,37.6485981308
